Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
Halloween,149342015,159342015,10000000,6.6
Crazy Rich Asians,144532921,174532921,30000000,6.9
Venom,113515506,213515506,100000000,6.7
Spider-Man: Into the Spider-Verse,100241310,190241310,90000000,8.4
The Nun,95450119,117450119,22000000,5.3
Hotel Transylvania 3: Summer Vacation,87510016,167510016,80000000,6.3
I Can Only Imagine,76482352,83482352,7000000,7.3
Ocean's Eight,70218711,140218711,70000000,6.2
Creed II,65715889,115715889,50000000,7.1
Peter Rabbit,65253424,115253424,50000000,6.6
Green Book,62080171,85080171,23000000,8.2
Book Club,58566296,68566296,10000000,6.1
Insidious: The Last Key,57745330,67745330,10000000,5.7
The First Purge,56488745,69488745,13000000,5.2
Ant-Man and the Wasp,54648740,216648740,162000000,7.1
The Mule,53804407,103804407,50000000,7
Night School,48339130,77339130,29000000,5.6
Mamma Mia! Here We Go Again,45634935,120634935,75000000,6.6
Fifty Shades Freed,45407760,100407760,55000000,4.5
Mission: Impossible - Fallout,42159104,220159104,178000000,7.7
Mary Poppins Returns,41958438,171958438,130000000,6.7
Breaking In,40840590,46840590,6000000,5.4
The Equalizer 2,40084362,102084362,62000000,6.7
Blockers,39311495,60311495,21000000,6.2
Overboard,38316123,50316123,12000000,6
Truth or Dare,37911015,41411015,3500000,5.2
BlacKkKlansman,34275340,49275340,15000000,7.5
Hereditary,34069456,44069456,10000000,7.3
A Simple Favor,33548586,53548586,20000000,6.8
Game Night,32179066,69179066,37000000,6.9
Tag,26730625,54730625,28000000,6.5
The House with a Clock in Its Walls,26549695,68549695,42000000,6
Ralph Breaks the Internet,26091711,201091711,175000000,7.1
Searching,25140957,26020957,880000,7.6
Christopher Robin,24215042,99215042,75000000,7.3
"Love, Simon",23826341,40826341,17000000,7.6
Uncle Drew,23469946,42469946,19000000,5.7
Second Act,23282227,39282227,16000000,5.8
Life of the Party,23059911,53059911,30000000,5.6
Winchester,21591816,25091816,3500000,5.4
Slender Man,20569484,30569484,10000000,3.2
Teen Titans Go! To the Movies,19790236,29790236,10000000,6.8
The Strangers: Prey at Night,19586708,24586708,5000000,5.2
The Favourite,19366783,34366783,15000000,7.5
Instant Family,19363237,67363237,48000000,7.3
Super Troopers 2,17117396,30617396,13500000,6
I Feel Pretty,16795601,48795601,32000000,5.5
The Meg,15443742,145443742,130000000,5.6
Sicario: Day of the Soldado,15072235,50072235,35000000,7.1
Den of Thieves,14947622,44947622,30000000,7
Sorry to Bother You,14293096,17493096,3200000,6.9
Forever My Girl,12876066,16376066,3500000,6.7
Goosebumps 2: Haunted Halloween,11700633,46700633,35000000,5.6
Eighth Grade,11539709,13539709,2000000,7.4
Peppermint,10418723,35418723,25000000,6.5
Unfriended: Dark Web,7866745,8866745,1000000,5.9
The Possession of Hannah Grace,7137422,14837422,7700000,5.2
Upgrade,6977130,11977130,5000000,7.5
Midnight Sun,6761064,9561064,2800000,6.6
The Hate U Give,6719483,29719483,23000000,7.4
The Commuter,6343858,36343858,30000000,6.3
The 15:17 to Paris,6276286,36276286,30000000,5.2
Unsane,6232899,7732899,1500000,6.4
Mid90s,5662439,7362439,1700000,7.4
Hell Fest,5607431,11107431,5500000,5.5
Traffik,5186156,9186156,4000000,6
On the Basis of Sex,4622687,24622687,20000000,7
Death Wish,4017028,34017028,30000000,6.4
Smallfoot,3240103,83240103,80000000,6.6
If Beale Street Could Talk,2915773,14915773,12000000,7.1
Every Day,1202076,6102076,4900000,6.4
A Wrinkle in Time,478608,100478608,100000000,4.2
Widows,402632,42402632,42000000,6.9
Can You Ever Forgive Me?,-1196135,8803865,10000000,7.1
Adrift,-3554988,31445012,35000000,6.6
Tully,-3630245,9369755,13000000,7
Maze Runner: The Death Cure,-3967557,58032443,62000000,6.2
Boy Erased,-4211308,6788692,11000000,6.9
Stan & Ollie,-4529765,5470235,10000000,7.2
White Boy Rick,-4988812,24011188,29000000,6.4
Assassination Nation,-4994858,2005142,7000000,5.9
Gotti,-5656773,4343227,10000000,4.8
Life Itself,-5897352,4102648,10000000,6.8
Operation Finale,-6387901,17612099,24000000,6.6
The Spy Who Dumped Me,-6437931,33562069,40000000,6
Destroyer,-7466676,1533324,9000000,6.2
Bumblebee,-7804411,127195589,135000000,6.8
Hotel Artemis,-8291853,6708147,15000000,6.1
Under the Silver Lake,-8453917,46083,8500000,6.5
Mary Queen of Scots,-8531501,16468499,25000000,6.3
Ben Is Back,-9296816,3703184,13000000,6.7
Holmes & Watson,-11426374,30573626,42000000,3.8
Vice,-12163718,47836282,60000000,7.2
Mile 22,-13891242,36108758,50000000,6.1
First Man,-14063455,44936545,59000000,7.3
Bad Times at the El Royale,-14160885,17839115,32000000,7.1
Billionaire Boys Club,-14998651,1349,15000000,5.6
Alpha,-15142819,35857181,51000000,6.7
Overlord,-16295156,21704844,38000000,6.6
Beautiful Boy,-17350027,7649973,25000000,7.3
Suspiria,-17516528,2483472,20000000,6.8
Rampage,-18971767,101028233,120000000,6.1
The Happytime Murders,-19293548,20706452,40000000,5.4
Johnny English Strikes Again,-20587830,4412170,25000000,6.2
The Darkest Minds,-21304309,12695691,34000000,5.7
Red Sparrow,-22125495,46874505,69000000,6.6
Hunter Killer,-24232540,15767460,40000000,6.6
Kin,-24281904,5718096,30000000,5.8
Replicas,-25953571,4046429,30000000,5.5
The Girl in the Spider's Web,-28158662,14841338,43000000,6.1
Welcome to Marwen,-28236480,10763520,39000000,6.2
Les frères Sisters,-34856944,3143056,38000000,7
Tomb Raider,-35749197,58250803,94000000,6.3
The Predator,-36975292,51024708,88000000,5.3
Ready Player One,-37309828,137690172,175000000,7.5
Fantastic Beasts: The Crimes of Grindelwald,-40444099,159555901,200000000,6.6
Early Man,-41732456,8267544,50000000,6.1
Skyscraper,-56579880,68420120,125000000,5.8
Solo: A Star Wars Story,-61232488,213767512,275000000,6.9
The Nutcracker and the Four Realms,-65141149,54858851,120000000,5.5
Robin Hood,-69175372,30824628,100000000,5.3
Mortal Engines,-84048960,15951040,100000000,6.1
Pacific Rim: Uprising,-90125475,59874525,150000000,5.6
2019,3683305230,10455105230,6771800000,739.5
Avengers: Endgame,502373000,858373000,356000000,8.4
Frozen II,327373578,477373578,150000000,6.9
The Lion King,283638043,543638043,260000000,6.9
Joker,280451311,335451311,55000000,8.5
Captain Marvel,266829839,426829839,160000000,6.9
Star Wars: Episode IX - The Rise of Skywalker,240202542,515202542,275000000,6.6
Toy Story 4,234038008,434038008,200000000,7.8
Spider-Man: Far from Home,230532085,390532085,160000000,7.5
Jumanji: The Next Level,191831246,316831246,125000000,6.7
Aladdin,172559216,355559216,183000000,7
Us,155084580,175084580,20000000,6.9
It Chapter Two,132593228,211593228,79000000,6.5
Knives Out,125363234,165363234,40000000,7.9
John Wick: Chapter 3 - Parabellum,96015687,171015687,75000000,7.5
Glass,91048468,111048468,20000000,6.7
Hustlers,84963598,104963598,20000000,6.3
Downton Abbey,83854135,96854135,13000000,7.4
The Secret Life of Pets 2,78874395,158874395,80000000,6.5
The Addams Family,76044905,100044905,24000000,5.8
Little Women,68101214,108101214,40000000,7.8
1917,64227644,159227644,95000000,8.3
Good Boys,63140306,83140306,20000000,6.7
Rocketman,56368160,96368160,40000000,7.3
Once Upon a Time... in Hollywood,52502728,142502728,90000000,7.6
Escape Room,48005601,57005601,9000000,6.3
Yesterday,47286650,73286650,26000000,6.8
The Curse of la Llorona,45733739,54733739,9000000,5.3
Annabelle Comes Home,44152591,74152591,30000000,5.9
Scary Stories to Tell in the Dark,43947075,68947075,25000000,6.2
Ma,40896028,45896028,5000000,5.6
Shazam!,40371656,140371656,100000000,7.1
Five Feet Apart,38729221,45729221,7000000,7.2
A Beautiful Day in the Neighborhood,36704055,61704055,25000000,7.3
What Men Want,34611903,54611903,20000000,5.2
Pet Sematary,33724696,54724696,21000000,5.7
How to Train Your Dragon: The Hidden World,31799505,160799505,129000000,7.5
Zombieland: Double Tap,31123082,73123082,42000000,6.7
Uncut Gems,31023780,50023780,19000000,7.4
Angel Has Fallen,29030436,69030436,40000000,6.4
The Intruder,27419122,35419122,8000000,5.6
Harriet,26082155,43082155,17000000,6.5
Queen & Slim,25808310,43808310,18000000,7.1
Crawl,25514193,39014193,13500000,6.2
A Dog's Way Home,24004346,42004346,18000000,6.7
Ready or Not,22714231,28714231,6000000,6.8
Ford v Ferrari,20024357,117624357,97600000,8.1
Jojo Rabbit,19370906,33370906,14000000,7.9
Child's Play,19208403,29208403,10000000,5.8
Happy Death Day 2U,19148130,28148130,9000000,6.2
Countdown,19121766,25621766,6500000,5.4
Midsommar,18426361,27426361,9000000,7.1
Isn't It Romantic,17791187,48791187,31000000,5.9
Booksmart,16680962,22680962,6000000,7.2
The Gentlemen,14471795,36471795,22000000,7.9
The Hustle,14417038,35417038,21000000,5.4
The Peanut Butter Falcon,14257151,20457151,6200000,7.6
Unplanned,13005109,19005109,6000000,5.8
Fighting with My Family,11958886,22958886,11000000,7.1
Late Night,11499454,15499454,4000000,6.5
Dora and the Lost City of Gold,11477943,60477943,49000000,6.1
Brightburn,11300439,17300439,6000000,6.1
Just Mercy,11001502,36001502,25000000,7.6
47 Meters Down: Uncaged,10260900,22260900,12000000,5
Last Christmas,10150750,35150750,25000000,6.5
Black and Blue,10055313,22055313,12000000,6.3
The Prodigy,8856291,14856291,6000000,5.8
The Art of Racing in the Rain,8395642,26395642,18000000,7.6
The Good Liar,7156058,17156058,10000000,6.6
The Lego Movie 2: The Second Part,6806508,105806508,99000000,6.6
A Dog's Journey,6782371,22782371,16000000,7.5
Stuber,6370452,22370452,16000000,6.2
Jexi,1546159,6546159,5000000,6.1
Bombshell,-237192,31762808,32000000,6.8
3 from Hell,-827051,2172949,3000000,5.5
The Beach Bum,-1497400,3502600,5000000,5.5
After,-1861435,12138565,14000000,5.4
Blinded by the Light,-3098855,11901145,15000000,6.9
21 Bridges,-4460243,28539757,33000000,6.6
Rambo: Last Blood,-5180648,44819352,50000000,6.1
Color Out of Space,-5234439,765561,6000000,6.2
Jay and Silent Bob Reboot,-5410510,4589490,10000000,5.7
Pokémon: Detective Pikachu,-5894654,144105346,150000000,6.6
Long Shot,-9683729,30316271,40000000,6.8
"Where'd You Go, Bernadette",-10801644,9198356,20000000,6.5
Doctor Sleep,-13418288,31581712,45000000,7.4
Shaft,-13639785,21360215,35000000,6.4
Abominable,-14283610,60716390,75000000,7
Tolkien,-15464846,4535154,20000000,6.8
Serenity,-16452955,8547045,25000000,5.4
Motherless Brooklyn,-16722264,9277736,26000000,6.8
Captive State,-19041685,5958315,25000000,6
Richard Jewell,-22654458,22345542,45000000,7.5
The Angry Birds Movie 2,-23332884,41667116,65000000,6.4
The Kitchen,-25819968,12180032,38000000,5.5
Fast & Furious Presents: Hobbs & Shaw,-26043065,173956935,200000000,6.4
Cold Pursuit,-27861138,32138862,60000000,6.2
Hellboy,-28096252,21903748,50000000,5.2
Men in Black: International,-29998193,80001807,110000000,5.6
Charlie's Angels,-30196923,17803077,48000000,4.7
Spies in Disguise,-33242987,66757013,100000000,6.8
The Goldfinch,-39667379,5332621,45000000,6.3
Ad Astra,-39811630,50188370,90000000,6.6
The Kid Who Would Be King,-42209210,16790790,59000000,6
Midway,-43153198,56846802,100000000,6.7
Dumbo,-55233693,114766307,170000000,6.3
Godzilla: King of the Monsters,-59499862,110500138,170000000,6
Cats,-67833230,27166770,95000000,2.8
Maleficent: Mistress of Evil,-71070395,113929605,185000000,6.6
Missing Link,-83350461,16649539,100000000,6.7
Alita: Battle Angel,-84289790,85710210,170000000,7.3
Gemini Man,-89453230,48546770,138000000,5.7
Terminator: Dark Fate,-122746923,62253077,185000000,6.2
Dark Phoenix,-134154026,65845974,200000000,5.8
2020,-2417127,735082873,737500000,71.1
Bad Boys for Life,114417855,204417855,90000000,6.6
Sonic the Hedgehog,61066470,146066470,85000000,6.5
The Invisible Man,57914050,64914050,7000000,7.1
Fantasy Island,19441782,26441782,7000000,4.9
The Grudge,11221803,21221803,10000000,4.2
Gretel & Hansel,10347654,15347654,5000000,5.3
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,-341539,84158461,84500000,6.1
The Hunt,-8187500,5812500,14000000,6.5
Bloodshot,-34978213,10021787,45000000,5.7
Underwater,-62708922,17291078,80000000,5.8
The Call of the Wild,-72657632,62342368,135000000,6.8
Dolittle,-97952935,77047065,175000000,5.6
Grand Total,42444968504,1.86447E+11,1.44002E+11,19536.2
