ID,ID,Budget,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count,IMDB
351,2251,50000000,37.765,2002-05-10,119137784,124,6.6,1305,tt0250797
352,10167,25000000,11.377,2002-11-15,19233280,98,5.2,302,tt0297162
353,1809,4000000,17.449,2002-10-11,11832822,111,6.2,466,tt0292644
354,10712,13500000,15.519,2002-09-02,29027914,107,7.018,511,tt0297884
355,1957,38000000,27.359,2002-05-21,51801187,114,6.655,974,tt0278435
356,17187,0,13.74,2002-11-22,16318449,108,7.065,321,tt0283530
357,10994,0,14.224,2002-10-11,0,109,7.077,319,tt0283139
358,9707,1000000,12.45,2002-06-09,0,92,6.587,507,tt0281686
359,11013,4000000,30.536,2002-09-20,9304609,104,6.805,1337,tt0274812
360,10894,500000,9.269,2003-06-03,264349,93,6.5,500,tt0303361
