Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote,Year,Row Labels,
Shrek 2,291226247,441226247,150000000,7.2,2004,Shrek 2,
Meet the Fockers,199261160,279261160,80000000,6.3,2004,Meet the Fockers,
Spider-Man 2,173585825,373585825,200000000,7.3,2004,Spider-Man 2,
The Incredibles,169441092,261441092,92000000,8,2004,The Incredibles,
Harry Potter and the Prisoner of Azkaban,119975996,249975996,130000000,7.9,2004,Harry Potter and the Prisoner of Azkaban,
The Bourne Supremacy,101241941,176241941,75000000,7.7,2004,The Bourne Supremacy,
The Grudge,100359362,110359362,10000000,5.9,2004,The Grudge,
Dodgeball: A True Underdog Story,94326736,114326736,20000000,6.7,2004,Dodgeball: A True Underdog Story,
Shark Tale,85861908,160861908,75000000,6,2004,Shark Tale,
National Treasure,73008894,173008894,100000000,6.9,2004,National Treasure,
Million Dollar Baby,70492203,100492203,30000000,8.1,2004,Million Dollar Baby,
Mean Girls,69058055,86058055,17000000,7,2004,Mean Girls,
The Day After Tomorrow,61740799,186740799,125000000,6.4,2004,The Day After Tomorrow,
Anchorman: The Legend of Ron Burgundy,59288303,85288303,26000000,7.2,2004,Anchorman: The Legend of Ron Burgundy,
Sideways,55503593,71503593,16000000,7.5,2004,Sideways,
The SpongeBob SquarePants Movie,55417988,85417988,30000000,7.1,2004,The SpongeBob SquarePants Movie,
The Princess Diaries 2: Royal Engagement,55170481,95170481,40000000,5.8,2004,The Princess Diaries 2: Royal Engagement,
Saw,54800369,56000369,1200000,7.6,2004,Saw,
The Village,54197520,114197520,60000000,6.5,2004,The Village,
The Notebook,52001787,81001787,29000000,7.8,2004,The Notebook,
Crash,48080300,54580300,6500000,7.7,2004,Crash,
Along Came Polly,46097164,88097164,42000000,6,2004,Along Came Polly,
50 First Dates,45908074,120908074,75000000,6.8,2004,50 First Dates,
The Butterfly Effect,44938693,57938693,13000000,7.6,2004,The Butterfly Effect,
Napoleon Dynamite,44140956,44540956,400000,6.9,2004,Napoleon Dynamite,
Without a Paddle,39169327,58169327,19000000,5.9,2004,Without a Paddle,
Miracle,36378093,64378093,28000000,7.5,2004,Miracle,
Kill Bill: Vol. 2,36208183,66208183,30000000,8,2004,Kill Bill: Vol. 2,
Collateral,36005703,101005703,65000000,7.5,2004,Collateral,
Ray,35331600,75331600,40000000,7.7,2004,Ray,
Barbershop 2: Back in Business,35111277,65111277,30000000,5.7,2004,Barbershop 2: Back in Business,
White Chicks,33831760,70831760,37000000,5.6,2004,White Chicks,
Dawn of the Dead,33020957,59020957,26000000,7.3,2004,Dawn of the Dead,
A Cinderella Story,32438175,51438175,19000000,5.9,2004,A Cinderella Story,
You Got Served,32363810,40363810,8000000,3.9,2004,You Got Served,
Friday Night Lights,31255921,61255921,30000000,7.2,2004,Friday Night Lights,
Starsky & Hutch,28237754,88237754,60000000,6.1,2004,Starsky & Hutch,
Finding Neverland,26680613,51680613,25000000,7.7,2004,Finding Neverland,
Garfield,25369589,75369589,50000000,5,2004,Garfield,
The Forgotten,25133509,67133509,42000000,5.8,2004,The Forgotten,
"I, Robot",24801023,144801023,120000000,7.1,2004,"I, Robot",
Garden State,24282316,26782316,2500000,7.4,2004,Garden State,
The Polar Express,22224490,187224490,165000000,6.6,2004,The Polar Express,
Fat Albert,22116322,48116322,26000000,4.3,2004,Fat Albert,
AVP: Alien vs. Predator,20282231,80282231,60000000,5.6,2004,AVP: Alien vs. Predator,
13 Going on 30,20231747,57231747,37000000,6.2,2004,13 Going on 30,
In Good Company,19806659,45806659,26000000,6.4,2004,In Good Company,
Ladder 49,19541707,74541707,55000000,6.5,2004,Ladder 49,
The Terminal,17872883,77872883,60000000,7.4,2004,The Terminal,
Ocean's Twelve,15544280,125544280,110000000,6.5,2004,Ocean's Twelve,
Eternal Sunshine of the Spotless Mind,14400301,34400301,20000000,8.3,2004,Eternal Sunshine of the Spotless Mind,
Confessions of a Teenage Drama Queen,14331068,29331068,15000000,4.7,2004,Confessions of a Teenage Drama Queen,
Christmas with the Kranks,13780539,73780539,60000000,5.4,2004,Christmas with the Kranks,
Anacondas: The Hunt for the Blood Orchid,12238923,32238923,20000000,4.7,2004,Anacondas: The Hunt for the Blood Orchid,
Taxi,11879320,36879320,25000000,4.5,2004,Taxi,
Harold & Kumar Go to White Castle,9250550,18250550,9000000,7.1,2004,Harold & Kumar Go to White Castle,
Secret Window,8022900,48022900,40000000,6.6,2004,Secret Window,
Man on Fire,7911774,77911774,70000000,7.7,2004,Man on Fire,
Shall We Dance,7890460,57890460,50000000,6.1,2004,Shall We Dance,
Cellular,7003620,32003620,25000000,6.5,2004,Cellular,
Closer,6987757,33987757,27000000,7.2,2004,Closer,
Resident Evil: Apocalypse,6201453,51201453,45000000,6.2,2004,Resident Evil: Apocalypse,
The Prince & Me,6176497,28176497,22000000,5.9,2004,The Prince & Me,
Seed of Chucky,5083732,17083732,12000000,4.8,2004,Seed of Chucky,
The Ladykillers,4799191,39799191,35000000,6.2,2004,The Ladykillers,
Scooby-Doo 2: Monsters Unleashed,4216833,84216833,80000000,5.1,2004,Scooby-Doo 2: Monsters Unleashed,
Saved!,3940582,8940582,5000000,6.7,2004,Saved!,
Before Sunset,3120649,5820649,2700000,8,2004,Before Sunset,
The Punisher,810189,33810189,33000000,6.4,2004,The Punisher,
Team America: World Police,786074,32786074,32000000,7.2,2004,Team America: World Police,
Walking Tall,437717,46437717,46000000,6.3,2004,Walking Tall,
Primer,417760,424760,7000,6.9,2004,Primer,
Bridget Jones: The Edge of Reason,226215,40226215,40000000,6,2004,Bridget Jones: The Edge of Reason,
Mean Creek,103951,603951,500000,7.2,2004,Mean Creek,
Bride & Prejudice,-394408,6605592,7000000,6.1,2004,Bride & Prejudice,
