original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
The Theory of Everything,2014,"Biography, Drama, Romance",123,"UK, Japan, USA",English,James Marsh,"Anthony McCarten, Jane Hawking","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry, Finlay Wright-Stephens, Harry Lloyd, Alice Orr-Ewing, David Thewlis, Thomas Morrison, Michael Marcus, Gruffudd Glyn, Paul Longley, Emily Watson, Guy Oliver-Watts, Simon McBurney",Eddie Redmayne,"Eddie Redmayne, Felicity Jones",A look at the relationship between the famous physicist,A look at the relationship between,7.7,390356,15000000,35893537,20893537
The Guest,2014,"Action, Crime, Drama",100,"USA, UK",English,Adam Wingard,Simon Barrett,"Dan Stevens, Maika Monroe, Brendan Meyer, Sheila Kelley, Leland Orser, Lance Reddick, Tabatha Shaun, Chase Williamson, Joel David Moore, Steven John Brown, Brenden Wedner, Alex Knight, Ethan Embry, Nancy Jeris, Matthew Page",Dan Stevens,"Dan Stevens, Maika Monroe","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",A soldier introduces himself to,6.7,88843,5000000,332890,-4667110
The Hundred-Foot Journey,2014,"Comedy, Drama",122,"USA, India, United Arab Emirates",English,Lasse Hallström,"Steven Knight, Richard C. Morais","Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon, Amit Shah, Farzana Dua Elahe, Dillon Mitra, Aria Pandya, Michel Blanc, Clément Sibony, Vincent Elbaz, Juhi Chawla, Alban Aumard, Shuna Lemoine, Antoine Blanquefort",Helen Mirren,"Helen Mirren, Om Puri",The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,The Kadam family leaves India,7.3,75009,22000000,54240821,32240821
Planes: Fire & Rescue,2014,"Animation, Adventure, Comedy",83,USA,English,Roberts Gannaway,"Roberts Gannaway, Jeffrey M. Howard","Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Michael Higgins, Hal Holbrook, Wes Studi, Brad Garrett, Teri Hatcher, Stacy Keach, Cedric the Entertainer, Danny Mann, Barry Corbin, Regina King, Anne Meara",Dane Cook,"Dane Cook, Ed Harris","When Dusty learns that his engine is damaged and he may never race again, he joins a forest fire and rescue unit to be trained as a firefighter, or else his air strip will be shut down.",When Dusty learns that his engine,6,16263,50000000,59165787,9165787
Camp X-Ray,2014,"Drama, War",117,USA,English,Peter Sattler,Peter Sattler,"Nawal Bengholam, Payman Maadi, Lane Garrison, Joseph Julian Soria, Marwan Naji, Anoop Simon, Kristen Stewart, Cory Michael Smith, Ser'Darius Blain, Tara Holt, LaDell Preston, Daniel Leavitt, Marco Khan, Julia Duffy, Robert Tarpinian",Nawal Bengholam,"Nawal Bengholam, Payman Maadi",A soldier assigned to Guantanamo Bay befriends a man who has been imprisoned there.,A soldier assigned to Guantanamo,6.9,38766,1000000,13302,-986698
The Water Diviner,2014,"Drama, History, War",111,"Australia, USA",English,Russell Crowe,"Andrew Knight, Andrew Anastasios","Russell Crowe, Olga Kurylenko, Yilmaz Erdogan, Cem Yilmaz, Jai Courtney, Dylan Jett, Steve Bastoni, Isabel Lucas, Salih Kalyon, Megan Gale, Ryan Corr, James Fraser, Ben O'Toole, Jacqueline McKenzie, Jack Patterson",Russell Crowe,"Russell Crowe, Olga Kurylenko",An Australian man travels to Turkey after the Battle of Gallipoli to try and locate his three missing sons.,An Australian man travels to Turkey,7,70359,22500000,4196641,-18303359
The Lego Ninjago Movie,2017,"Animation, Action, Adventure",101,"USA, Denmark, Australia",English,"Charlie Bean, Paul Fisher","Bob Logan, Paul Fisher","Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani, Michael Peña, Abbi Jacobson, Zach Woods, David Burrows, Alex Kauffman, Justin Theroux, Ali Wong, Garret Elkins, Todd Hansen, Doug Nicholas, Charlyne Yi",Jackie Chan,"Jackie Chan, Dave Franco","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",Shunned by everyone for being,6,21770,70000000,59281555,-10718445
Moms' Night Out,2014,Comedy,98,USA,English,"Andrew Erwin, Jon Erwin","Jon Erwin, Andrea Gyertson Nasfell","Sarah Drew, Sean Astin, Patricia Heaton, Trace Adkins, David Hunt, Andrea Logan, Harry Shum Jr., Abbie Cobb, Robert Amaya, Kevin Downes, Alex Kendrick, Sammi Hanratty, Michael Leone, Shiloh Nelson, Brett Rice",Sarah Drew,"Sarah Drew, Sean Astin","Hardworking mom Allyson has a crazy night out with her friends, while their husbands watch their children.",Hardworking mom Allyson has a,5.4,13044,5000000,10429707,5429707
Criminal,2016,"Action, Sci-Fi, Thriller",113,"USA, UK, Bulgaria",English,Ariel Vromen,"Douglas Cook, David Weisberg","Kevin Costner, Gary Oldman, Tommy Lee Jones, Ryan Reynolds, Jordi Mollà, Gal Gadot, Michael Pitt, Amaury Nolasco, Alice Eve, Antje Traue, Scott Adkins, Lara Decaro, Freddy Bosche, Emmanuel Imani, Harry Hepple",Kevin Costner,"Kevin Costner, Gary Oldman","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",In a last-ditch effort to stop,6.3,57738,31500000,14708696,-16791304
The Jungle Book,2016,"Adventure, Drama, Family",106,"UK, USA",English,Jon Favreau,"Justin Marks, Rudyard Kipling","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Brighton Rose, Emjay Anthony, Max Favreau, Chloe Hechter, Asher Blinkoff, Knox Gagnon",Neel Sethi,"Neel Sethi, Bill Murray","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",After a threat from the tiger,7.4,254949,175000000,364001123,189001123
Mortdecai,2015,"Action, Adventure, Comedy",107,"UK, USA",English,David Koepp,"Eric Aronson, Kyril Bonfiglioli","Johnny Depp, Gwyneth Paltrow, Paul Bettany, Ewan McGregor, Olivia Munn, Jonny Pasvolsky, Michael Culkin, Ulrich Thomsen, Alec Utgoff, Rob de Groot, Guy Burnet, Jeff Goldblum, Paul Whitehouse, Norma Atallah, Nicholas Farrell",Johnny Depp,"Johnny Depp, Gwyneth Paltrow","Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.","Juggling angry Russians, the British",5.5,65711,60000000,7696134,-52303866
Inferno,2016,"Action, Adventure, Crime",121,"USA, Hungary",English,Ron Howard,"Dan Brown, David Koepp","Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan, Sidse Babett Knudsen, Ben Foster, Ana Ularu, Ida Darvish, Paolo Antonio Simioni, Alessandro Grimaldi, Fausto Maria Sciarappa, Robin Mugnaini, Paul Ritter, Vincenzo Tanassi, Alessandro Fabrizi",Tom Hanks,"Tom Hanks, Felicity Jones","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",When Robert Langdon wakes up in,6.2,153986,75000000,34343574,-40656426
Bad Grandpa,2013,Comedy,92,USA,English,Jeff Tremaine,"Johnny Knoxville, Spike Jonze","Johnny Knoxville, Jackson Nicoll, Gregorio, Georgina Cates, Kamber Hejlik, Jill Killington, Madison Davis, George Faughnan, Grasie Mercedes, Marilynn Allain, Jack Polick, Spike Jonze, Catherine Keener, Marlon Davis, Quintin Duncan",Johnny Knoxville,"Johnny Knoxville, Jackson Nicoll","86-year-old Irving Zisman takes a trip from Nebraska to North Carolina to take his 8 year-old grandson, Billy, back to his real father.",86-year-old Irving Zisman takes,6.5,88339,15000000,102003019,87003019
The Conjuring 2,2016,"Horror, Mystery, Thriller",134,"Canada, USA, UK",English,James Wan,"Chad Hayes, Carey W. Hayes","Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor, Lauren Esposito, Benjamin Haigh, Patrick McAuley, Simon McBurney, Maria Doyle Kennedy, Simon Delaney, Franka Potente, Bob Adrian, Robin Atkin Downes, Bonnie Aarons, Javier Botet",Patrick Wilson,"Patrick Wilson, Vera Farmiga",Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,Ed and Lorraine Warren travel,7.3,218066,40000000,102470008,62470008
Hardcore Henry,2015,"Action, Adventure, Sci-Fi",96,"Russia, USA, China",English,Ilya Naishuller,"Ilya Naishuller, Will Stewart","Sharlto Copley, Danila Kozlovsky, Haley Bennett, Tim Roth, Andrei Dementiev, Svetlana Ustinova, Darya Charusha, Oleg Poddubnyy, Jack Hahn, Cyrus Arnold, Jake Karlen, Will Stewart, Ilya Naishuller, Martin Cooke, Sergey Chekrygin",Sharlto Copley,"Sharlto Copley, Danila Kozlovsky","Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers.",Henry is resurrected from death,6.7,84692,2000000,9252038,7252038
Creed,2015,"Drama, Sport",133,USA,English,Ryan Coogler,"Ryan Coogler, Aaron Covington","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad, Andre Ward, Tony Bellew, Ritchie Coster, Jacob 'Stitch' Duran, Graham McTavish, Malik Bazille, Ricardo 'Padman' McGill, Gabe Rosado, Wood Harris, Buddy Osborn, Rupal Pujara",Michael B. Jordan,"Michael B. Jordan, Sylvester Stallone","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",The former World Heavyweight Champion,7.6,241768,35000000,109767581,74767581
Spy,2015,"Action, Comedy, Crime",120,"USA, UK, France, Hungary, Germany",English,Paul Feig,Paul Feig,"Jude Law, Raad Rawi, Melissa McCarthy, Jessica Chaffin, Miranda Hart, Sam Richardson, Katie Dippold, Jaime Pacheco, Romain Apelbaum, Allison Janney, Rose Byrne, Richard Brake, Steve Bannos, Morena Baccarin, Jason Statham",Jude Law,"Jude Law, Raad Rawi","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",A desk-bound CIA analyst volunteers,7,225974,65000000,110825712,45825712
Tusk,2014,"Comedy, Drama, Horror",102,"Canada, USA",English,Kevin Smith,Kevin Smith,"Michael Parks, Justin Long, Genesis Rodriguez, Haley Joel Osment, Johnny Depp, Harley Morenstein, Ralph Garman, Jennifer Schwalbach Smith, Harley Quinn Smith, Lily-Rose Depp, Ashley Greene, Douglas Banks, Matthew Shively",Michael Parks,"Michael Parks, Justin Long",A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,A brash and arrogant podcaster,5.3,45366,3000000,1826705,-1173295
Crazy Rich Asians,2018,"Comedy, Drama, Romance",120,USA,English,Jon M. Chu,"Peter Chiarelli, Adele Lim","Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan, Lisa Lu, Awkwafina, Harry Shum Jr., Ken Jeong, Sonoya Mizuno, Chris Pang, Jimmy O. Yang, Ronny Chieng, Remy Hii, Nico Santos, Jing Lusi",Constance Wu,"Constance Wu, Henry Golding","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.","This contemporary romantic comedy,",6.9,133010,30000000,174532921,144532921
Now You See Me 2,2016,"Action, Adventure, Comedy",129,"France, USA",English,Jon M. Chu,"Ed Solomon, Ed Solomon","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco, Daniel Radcliffe, Lizzy Caplan, Jay Chou, Sanaa Lathan, Michael Caine, Morgan Freeman, David Warshofsky, Tsai Chin, William Henderson, Richard Laing, Henry Lloyd-Hughes",Jesse Eisenberg,"Jesse Eisenberg, Mark Ruffalo","The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","The Four Horsemen resurface, and",6.5,240792,90000000,65075540,-24924460
Beyond the Lights,2014,"Drama, Music, Romance",116,USA,English,Gina Prince-Bythewood,Gina Prince-Bythewood,"Gugu Mbatha-Raw, Nate Parker, Minnie Driver, Machine Gun Kelly, Danny Glover, Darryl Stephens, Elaine Tan, Isaac Keys, Tyler Christopher, Benito Martinez, Aisha Hinds, India Jean-Jacques, Deidrie Henry, Estelle, Malieek Straughter",Gugu Mbatha-Raw,"Gugu Mbatha-Raw, Nate Parker","The pressures of fame have superstar singer Noni on the edge, until she meets Kaz, a young cop who works to help her find the courage to develop her own voice and break free to become the artist she was meant to be.",The pressures of fame have superstar,6.9,15091,7000000,14618727,7618727
Trainwreck,2015,"Comedy, Drama, Romance",125,"USA, Japan",English,Judd Apatow,Amy Schumer,"Colin Quinn, Devin Fabry, Carla Oudin, Amy Schumer, Josh Segarra, Ryan Farrell, Robert E. Torres, Jim Florentine, Robert Kelly, Dan Soder, John Cena, Dave Attell, Vanessa Bayer, Tilda Swinton, Randall Park",Colin Quinn,"Colin Quinn, Devin Fabry","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",Having thought that monogamy was,6.2,127731,35000000,110212700,75212700
Rock the Kasbah,2015,"Comedy, Music, War",106,USA,English,Barry Levinson,Mitch Glazer,"Bill Murray, Bruce Willis, Kate Hudson, Zooey Deschanel, Leem Lubany, Arian Moayed, Scott Caan, Danny McBride, Fahim Fazli, Beejan Land, Sameer Ali Khan, Jonas Khan, Husam Chadat, Taylor Kinney, Megan Raich",Bill Murray,"Bill Murray, Bruce Willis","A down-on-his-luck music manager discovers a teenage girl with an extraordinary voice while on a music tour in Afghanistan and takes her to Kabul to compete on the popular television show, Afghan Star.",A down-on-his-luck music manager,5.5,10609,15000000,3020664,-11979336
Mr. Holmes,2015,"Drama, Mystery",104,"UK, USA",English,Bill Condon,"Mitch Cullin, Jeffrey Hatcher","Ian McKellen, Laura Linney, Milo Parker, Hiroyuki Sanada, Hattie Morahan, Patrick Kennedy, Roger Allam, Phil Davis, Frances de la Tour, Charles Maddox, Takako Akashi, Zak Shukor, John Sessions, Michael Culkin, David Foxxe",Ian McKellen,"Ian McKellen, Laura Linney","An aged, retired Sherlock Holmes deals with early dementia, as he tries to remember his final case, and a mysterious woman, whose memory haunts him. He also befriends a fan, the young son of his housekeeper, who wants him to work again.","An aged, retired Sherlock Holmes",6.9,60565,11000000,17737646,6737646
Room,2015,"Drama, Thriller",118,"Canada, Ireland, UK, USA",English,Lenny Abrahamson,"Emma Donoghue, Emma Donoghue","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster, Matt Gordon, Amanda Brugel, Joe Pingue, Joan Allen, Zarrin Darnell-Martin, Cas Anvar, William H. Macy, Jee-Yun Lee, Randal Edwards, Justin Mader",Brie Larson,"Brie Larson, Jacob Tremblay","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Held captive for 7 years in an,8.1,357159,13000000,14677654,1677654
The Diary of a Teenage Girl,2015,"Comedy, Drama, Romance",102,USA,English,Marielle Heller,"Phoebe Gloeckner, Marielle Heller","Bel Powley, Willie, Kristen Wiig, Abby Wait, Alexander Skarsgård, Miranda Bailey, Carson Mell, John Parsons, Madeleine Waters, Austin Lyon, Quinn Nagle, Davy Clements, Charles Lewis III, David Fine, Susannah Rogers",Bel Powley,"Bel Powley, Willie, Kristen Wiig",A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,A teen artist living in 1970s,6.9,29010,2000000,1477002,-522998
Honeymoon,2014,"Horror, Mystery, Thriller",87,USA,English,Leigh Janiak,"Phil Graziadei, Leigh Janiak","Rose Leslie, Harry Treadaway, Ben Huber, Hanna Brown, Bob Harrison, John Lauterbach, Peter Leo",Rose Leslie,"Rose Leslie, Harry Treadaway",A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.,A newlywed couple finds their,5.7,24005,1000000,9318,-990682
"Men, Women & Children",2014,"Comedy, Drama",119,USA,English,Jason Reitman,"Chad Kultgen, Jason Reitman","Adam Sandler, Jennifer Garner, Rosemarie DeWitt, Judy Greer, Dean Norris, Emma Thompson, Timothée Chalamet, Olivia Crocicchia, Kaitlyn Dever, Ansel Elgort, Katherine Hughes, Elena Kampouris, Will Peltz, Travis Tope, David Denman",Adam Sandler,"Adam Sandler, Jennifer Garner","A group of high school teenagers and their parents attempt to navigate the many ways the Internet has changed their relationships, their communications, their self-images, and their love lives.",A group of high school teenagers,6.7,29955,16000000,705908,-15294092
The Boy Next Door,2015,"Horror, Thriller",91,USA,English,Rob Cohen,Barbara Curry,"Jennifer Lopez, Ryan Guzman, Ian Nelson, John Corbett, Kristin Chenoweth, Lexi Atkins, Hill Harper, Jack Wallace, Adam Hicks, François Chau, Bailey Chase, Kent Avenido, Travis Schuldt, Brian Mahoney, Raquel Gardner",Jennifer Lopez,"Jennifer Lopez, Ryan Guzman","A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.","A woman, separated from her unfaithful",4.7,37341,4000000,35423380,31423380
Fantastic Beasts and Where to Find Them,2016,"Adventure, Family, Fantasy",132,"UK, USA",English,David Yates,J.K. Rowling,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck, Tristan Tait, Colin Farrell, Tom Clarke Hill, Matthew Sim, Katherine Waterston, Samantha Morton, Dan Fogler, Ezra Miller, Faith Wood-Blagrove, Jenn Murray, Cory Peterson",Eddie Redmayne,"Eddie Redmayne, Sam Redford",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,The adventures of writer Newt,7.3,398554,180000000,234037575,54037575
Insidious: Chapter 3,2015,"Horror, Mystery, Thriller",97,"Canada, UK, USA",English,Leigh Whannell,"Leigh Whannell, Leigh Whannell","Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell, Lin Shaye, Tate Berney, Michael Reid MacKay, Steve Coulter, Hayley Kiyoko, Corbett Tuck, Tom Fitzpatrick, Tom Gallop, Jeris Poindexter, Ele Keats, Phyllis Applegate",Dermot Mulroney,"Dermot Mulroney, Stefanie Scott",A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous supernatural entity.,A prequel set before the haunting,6.1,90827,10000000,52218558,42218558
Trumbo,2015,"Biography, Drama",124,USA,English,Jay Roach,"John McNamara, Bruce Cook","Bryan Cranston, Michael Stuhlbarg, David Maldonado, John Getz, Diane Lane, Laura Flannery, Helen Mirren, David James Elliott, Toby Nichols, Joseph S. Martino, Madison Wolfe, Jason Bayle, James DuMont, Alan Tudyk, Louis C.K.",Bryan Cranston,"Bryan Cranston, Michael Stuhlbarg","Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.","Abbie, tired of failed relationships,",7.5,74712,15000000,7857741,-7142259
Son of God,2014,"Biography, Drama, History",138,USA,English,Christopher Spencer,"Richard Bedser, Christopher Spencer","Diogo Morgado, Greg Hicks, Adrian Schiller, Darwin Shaw, Sebastian Knapp, Joe Wredden, Simon Kunz, Paul Marc Davis, Matthew Gravelle, Amber Rose Revah, Roma Downey, Paul Knops, Darcie Lincoln, David Rintoul, Gary Oliver",Diogo Morgado,"Diogo Morgado, Greg Hicks","The life story of Jesus is told from his humble birth through his teachings, crucifixion and ultimate resurrection.",The life story of Jesus is told,5.7,18152,22000000,59700064,37700064
Incarnate,2016,"Horror, Thriller",87,USA,English,Brad Peyton,Ronnie Christensen,"Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Petra Sprecher, Breanne Parhiala, Emjay Anthony, Vanya Asher, Karolina Wydra",Aaron Eckhart,"Aaron Eckhart, Carice van Houten","A scientist with the ability to enter the subconscious minds of the possessed must save a young boy from the grips of a demon with powers never seen before, while facing the horrors of his past.",A scientist with the ability to,5.3,11266,5000000,4799774,-200226
A Beautiful Day in the Neighborhood,2019,"Biography, Drama",109,"China, USA",English,Marielle Heller,"Micah Fitzerman-Blue, Noah Harpster","Tom Hanks, Matthew Rhys, Chris Cooper, Susan Kelechi Watson, Maryann Plunkett, Enrico Colantoni, Wendy Makkena, Tammy Blanchard, Noah Harpster, Carmen Cusack, Kelley Davis, Christine Lahti, Maddie Corman, Daniel Krell, Jon L Peacock",Tom Hanks,"Tom Hanks, Matthew Rhys",Based on the true story of a real-life friendship between,Based on the true story of a real-life,7.3,50284,25000000,61704055,36704055
Risen,2016,"Action, Drama, History",107,USA,English,Kevin Reynolds,"Kevin Reynolds, Paul Aiello","Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis, María Botto, Luis Callejo, Antonio Gil, Richard Atwill, Stewart Scudamore, Andy Gathergood, Stephen Hagan, Mish Boyko, Jan Cornet, Joe Manjón, Pepe Lorente",Joseph Fiennes,"Joseph Fiennes, Tom Felton","In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of","In 33 AD, a Roman Tribune in Judea",6.3,24616,20000000,36880033,16880033
It Follows,2014,"Horror, Mystery, Thriller",100,USA,English,David Robert Mitchell,David Robert Mitchell,"Bailey Spry, Carollette Phillips, Loren Bass, Keir Gilchrist, Maika Monroe, Lili Sepe, Charles Gertner, Debbie Williams, Olivia Luccardi, Jake Weary, Daniel Zovatto, Ruby Harris, Leisa Pulido, D.J. Oliver, Linda Boston",Bailey Spry,"Bailey Spry, Carollette Phillips",A young woman is followed by an unknown supernatural force after a sexual encounter.,A young woman is followed by an,6.8,203299,1000000,14674076,13674076
Sully,2016,"Biography, Drama",96,USA,English,Clint Eastwood,"Todd Komarnicki, Chesley Sullenberger","Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington, Mike O'Malley, Jamey Sheridan, Anna Gunn, Holt McCallany, Ahmed Lucan, Laura Linney, Laura Lundy, Onira Tares, Gary Weeks, Katie Couric, Jeff Kober",Tom Hanks,"Tom Hanks, Aaron Eckhart","The story of Chesley ""Sully"" Sullenberger (","The story of Chesley ""Sully"" Sullenberger",7.4,229971,60000000,125070033,65070033
Heist,2015,"Action, Crime, Drama",93,USA,English,Scott Mann,"S. Cyrus Sepher, Max Adams","Robert De Niro, Jeffrey Dean Morgan, Dave Bautista, Kate Bosworth, Gina Carano, Morris Chestnut, Lydia Hull, Mark-Paul Gosselaar, S. Cyrus Sepher, D.B. Sweeney, Tyler Jon Olson, Alyssa Julya Smith, Hawn Tran, Christopher Rob Bowen, Renell Gibbs",Robert De Niro,"Robert De Niro, Jeffrey Dean Morgan","A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",A father is without the means,6.1,27206,8900000,50136,-8849864
Little Women,2019,"Drama, Romance",135,USA,English,Greta Gerwig,"Greta Gerwig, Louisa May Alcott","Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Jayne Houdyshell, Chris Cooper, Meryl Streep, Rafael Silva, Mason Alban",Saoirse Ronan,"Saoirse Ronan, Emma Watson","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Jo March reflects back and forth,7.8,122387,40000000,108101214,68101214
Welcome to Marwen,2018,"Biography, Comedy, Drama",116,"Japan, USA",English,Robert Zemeckis,"Robert Zemeckis, Caroline Thompson","Steve Carell, Falk Hentschel, Matt O'Leary, Nikolai Witschl, Patrick Roccas, Alexander Lowe, Eiza González, Leslie Zemeckis, Merritt Wever, Gwendoline Christie, Stefanie von Pfetten, Janelle Monáe, Leslie Mann, Neil Jackson, Samantha Hum",Steve Carell,"Steve Carell, Falk Hentschel",A victim of a brutal attack finds a unique and beautiful therapeutic outlet to help him through his recovery process.,A victim of a brutal attack finds,6.2,17916,39000000,10763520,-28236480
Equals,2015,"Drama, Romance, Sci-Fi",101,"USA, Indonesia",English,Drake Doremus,"Nathan Parker, Drake Doremus","Nicholas Hoult, Vernetta Lopez, Scott Lawrence, Kate Lyn Sheil, Kristen Stewart, Rebecca Hazlewood, Yu Hwan Park, Bel Powley, David Selby, Aurora Perrineau, Nathan Parker, Jessica Lois, Seth Adams, Dennis Shin, Guy Pearce",Nicholas Hoult,"Nicholas Hoult, Vernetta Lopez","In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society.","In an emotionless utopia, two",6.1,26855,16000000,33258,-15966742
London Has Fallen,2016,"Action, Thriller",99,"UK, Bulgaria, USA",English,Babak Najafi,"Creighton Rothenberger, Katrin Benedikt","Alon Aboutboul, Waleed Zuaiter, Adel Bencherif, Mehdi Dehbi, Shivaani Ghai, Martin Petrushev, Owen Davis, Gerard Butler, Aaron Eckhart, Michael Wildman, Radha Mitchell, Lucy Newman-Williams, Julian Kostov, Stacy Shane, Penny Downie",Alon Aboutboul,"Alon Aboutboul, Waleed Zuaiter","In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",In London for the Prime Minister's,5.9,141509,60000000,62524260,2524260
Logan,2017,"Action, Drama, Sci-Fi",137,USA,English,James Mangold,"James Mangold, Scott Frank","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant, Elizabeth Rodriguez, Richard E. Grant, Eriq La Salle, Elise Neal, Quincy Fouse, Al Coronel, Frank Gallegos, Anthony Escobar, Reynaldo Gallegos, Krzysztof Soszynski",Hugh Jackman,"Hugh Jackman, Patrick Stewart","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",In a future where mutants are,8.1,627493,97000000,226277068,129277068
American Ultra,2015,"Action, Comedy",96,"USA, Switzerland",English,Nima Nourizadeh,Max Landis,"Jesse Eisenberg, Kristen Stewart, Topher Grace, Connie Britton, Walton Goggins, John Leguizamo, Bill Pullman, Tony Hale, Stuart Greer, Michael Papajohn, Monique Ganderton, Nash Edgerton, Paul Andrew O'Connor, Freddie Poole, Ilram Choi",Jesse Eisenberg,"Jesse Eisenberg, Kristen Stewart",A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,A stoner - who is in fact a government,6.1,82946,28000000,14440985,-13559015
Still Alice,2014,Drama,101,"USA, UK, France",English,"Richard Glatzer, Wash Westmoreland","Richard Glatzer, Wash Westmoreland","Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish, Alec Baldwin, Seth Gilliam, Kristen Stewart, Stephen Kunken, Erin Darke, Daniel Gerroll, Quincy Tyler Bernstine, Maxine Prescott, Orlagh Cassidy, Rosa Arredondo, Zillah Glory",Julianne Moore,"Julianne Moore, Kate Bosworth",A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.,A linguistics professor and her,7.5,124366,5000000,18754371,13754371
